trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,540833,143648,397185,0.2656
astar_23B.trace.gz,492055,463655,28400,0.9423
bwaves_98B.trace.gz,1567,1,1566,0.0006
bzip2_183B.trace.gz,123525,98361,25164,0.7963
cactusADM_734B.trace.gz,130754,31879,98875,0.2438
calculix_2655B.trace.gz,110181,94334,15847,0.8562
gamess_196B.trace.gz,653,4,649,0.0061
gcc_13B.trace.gz,783154,259627,523527,0.3315
gobmk_60B.trace.gz,18998,7185,11813,0.3782
gromacs_0B.trace.gz,2472,570,1902,0.2306
h264ref_178B.trace.gz,25944,10068,15876,0.3881
hmmer_7B.trace.gz,66095,30752,35343,0.4653
lbm_94B.trace.gz,597167,251200,345967,0.4207
leslie3d_94B.trace.gz,280211,89885,190326,0.3208
libquantum_964B.trace.gz,294671,17890,276781,0.0607
mcf_46B.trace.gz,1892518,880306,1012212,0.4652
milc_360B.trace.gz,293105,59462,233643,0.2029
namd_400B.trace.gz,518,17,501,0.0328
omnetpp_4B.trace.gz,557985,62133,495852,0.1114
perlbench_53B.trace.gz,114482,93439,21043,0.8162
povray_250B.trace.gz,2230,1405,825,0.6300
sjeng_358B.trace.gz,9440,2387,7053,0.2529
soplex_66B.trace.gz,677221,337745,339476,0.4987
sphinx3_883B.trace.gz,193760,38381,155379,0.1981
tonto_2049B.trace.gz,9878,3395,6483,0.3437
wrf_1212B.trace.gz,13377,4377,9000,0.3272
xalancbmk_99B.trace.gz,419923,18968,400955,0.0452
zeusmp_100B.trace.gz,88667,49724,38943,0.5608
