trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,540830,149082,391748,0.2757
astar_23B.trace.gz,492057,463671,28386,0.9423
bwaves_98B.trace.gz,1567,1,1566,0.0006
bzip2_183B.trace.gz,123454,99139,24315,0.8030
cactusADM_734B.trace.gz,130711,31669,99042,0.2423
calculix_2655B.trace.gz,110181,95023,15158,0.8624
gamess_196B.trace.gz,653,4,649,0.0061
gcc_13B.trace.gz,783024,280753,502271,0.3585
gobmk_60B.trace.gz,18998,7185,11813,0.3782
gromacs_0B.trace.gz,2472,570,1902,0.2306
h264ref_178B.trace.gz,25944,10068,15876,0.3881
hmmer_7B.trace.gz,66095,33266,32829,0.5033
lbm_94B.trace.gz,597293,265688,331605,0.4448
leslie3d_94B.trace.gz,280210,73307,206903,0.2616
libquantum_964B.trace.gz,294671,17890,276781,0.0607
mcf_46B.trace.gz,1892593,884630,1007963,0.4674
milc_360B.trace.gz,293105,68968,224137,0.2353
namd_400B.trace.gz,518,17,501,0.0328
omnetpp_4B.trace.gz,557981,38958,519023,0.0698
perlbench_53B.trace.gz,114482,92694,21788,0.8097
povray_250B.trace.gz,2230,1405,825,0.6300
sjeng_358B.trace.gz,9440,2387,7053,0.2529
soplex_66B.trace.gz,678653,316095,362558,0.4658
sphinx3_883B.trace.gz,193757,31836,161921,0.1643
tonto_2049B.trace.gz,9878,3395,6483,0.3437
wrf_1212B.trace.gz,13377,4377,9000,0.3272
xalancbmk_99B.trace.gz,419928,13923,406005,0.0332
zeusmp_100B.trace.gz,88686,49873,38813,0.5624
