trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,540834,70960,469874,0.1312
astar_23B.trace.gz,492057,463495,28562,0.9420
bwaves_98B.trace.gz,1567,1,1566,0.0006
bzip2_183B.trace.gz,123466,99345,24121,0.8046
cactusADM_734B.trace.gz,130754,30852,99902,0.2360
calculix_2655B.trace.gz,110181,94160,16021,0.8546
gamess_196B.trace.gz,653,4,649,0.0061
gcc_13B.trace.gz,782980,142709,640271,0.1823
gobmk_60B.trace.gz,18998,7185,11813,0.3782
gromacs_0B.trace.gz,2472,570,1902,0.2306
h264ref_178B.trace.gz,25944,10068,15876,0.3881
hmmer_7B.trace.gz,66095,33305,32790,0.5039
lbm_94B.trace.gz,596840,101319,495521,0.1698
leslie3d_94B.trace.gz,280243,99164,181079,0.3539
libquantum_964B.trace.gz,294671,90,294581,0.0003
mcf_46B.trace.gz,1892529,819249,1073280,0.4329
milc_360B.trace.gz,293105,68968,224137,0.2353
namd_400B.trace.gz,518,17,501,0.0328
omnetpp_4B.trace.gz,557932,52522,505410,0.0941
perlbench_53B.trace.gz,114481,93354,21127,0.8155
povray_250B.trace.gz,2230,1405,825,0.6300
sjeng_358B.trace.gz,9440,2387,7053,0.2529
soplex_66B.trace.gz,677729,308111,369618,0.4546
sphinx3_883B.trace.gz,193763,61603,132160,0.3179
tonto_2049B.trace.gz,9878,3395,6483,0.3437
wrf_1212B.trace.gz,13377,4377,9000,0.3272
xalancbmk_99B.trace.gz,419913,49748,370165,0.1185
zeusmp_100B.trace.gz,88680,49841,38839,0.5620
