trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,540835,24284,516551,0.0449
astar_23B.trace.gz,492016,460053,31963,0.9350
bwaves_98B.trace.gz,1567,1,1566,0.0006
bzip2_183B.trace.gz,123726,95552,28174,0.7723
cactusADM_734B.trace.gz,130678,24110,106568,0.1845
calculix_2655B.trace.gz,110181,94813,15368,0.8605
gamess_196B.trace.gz,653,4,649,0.0061
gcc_13B.trace.gz,783036,150595,632441,0.1923
gobmk_60B.trace.gz,18998,7109,11889,0.3742
gromacs_0B.trace.gz,2472,570,1902,0.2306
h264ref_178B.trace.gz,25948,9157,16791,0.3529
hmmer_7B.trace.gz,66094,23977,42117,0.3628
lbm_94B.trace.gz,596469,163018,433451,0.2733
leslie3d_94B.trace.gz,280216,89666,190550,0.3200
libquantum_964B.trace.gz,294671,1083,293588,0.0037
mcf_46B.trace.gz,1888383,824584,1063799,0.4367
milc_360B.trace.gz,293105,705,292400,0.0024
namd_400B.trace.gz,518,17,501,0.0328
omnetpp_4B.trace.gz,557161,291919,265242,0.5239
perlbench_53B.trace.gz,114481,92318,22163,0.8064
povray_250B.trace.gz,2230,1402,828,0.6287
sjeng_358B.trace.gz,9440,2386,7054,0.2528
soplex_66B.trace.gz,677183,324346,352837,0.4790
sphinx3_883B.trace.gz,193762,57044,136718,0.2944
tonto_2049B.trace.gz,9878,3371,6507,0.3413
wrf_1212B.trace.gz,13377,4375,9002,0.3271
xalancbmk_99B.trace.gz,419914,61939,357975,0.1475
zeusmp_100B.trace.gz,89585,46850,42735,0.5230
