trace,total_accesses,hits,misses,hit_rate
GemsFDTD_712B.trace.gz,526821,255,526566,0.0005
astar_23B.trace.gz,275774,251563,24211,0.9122
bwaves_98B.trace.gz,1500,1,1499,0.0007
bzip2_183B.trace.gz,90593,51546,39047,0.5690
cactusADM_734B.trace.gz,130145,163,129982,0.0013
calculix_2655B.trace.gz,107138,91615,15523,0.8551
gamess_196B.trace.gz,672,0,672,0.0000
gcc_13B.trace.gz,705613,1669,703944,0.0024
gobmk_60B.trace.gz,13694,1619,12075,0.1182
gromacs_0B.trace.gz,2477,252,2225,0.1017
h264ref_178B.trace.gz,22977,1096,21881,0.0477
hmmer_7B.trace.gz,65561,12345,53216,0.1883
lbm_94B.trace.gz,591956,6997,584959,0.0118
leslie3d_94B.trace.gz,279889,38036,241853,0.1359
libquantum_964B.trace.gz,294667,29,294638,0.0001
mcf_46B.trace.gz,1127556,488451,639105,0.4332
milc_360B.trace.gz,224140,14,224126,0.0001
namd_400B.trace.gz,465,0,465,0.0000
omnetpp_4B.trace.gz,312461,194319,118142,0.6219
perlbench_53B.trace.gz,81805,51005,30800,0.6235
povray_250B.trace.gz,1312,177,1135,0.1349
sjeng_358B.trace.gz,4967,66,4901,0.0133
soplex_66B.trace.gz,548629,85372,463257,0.1556
sphinx3_883B.trace.gz,165587,21610,143977,0.1305
tonto_2049B.trace.gz,7894,547,7347,0.0693
wrf_1212B.trace.gz,11674,264,11410,0.0226
xalancbmk_99B.trace.gz,319324,6274,313050,0.0196
zeusmp_100B.trace.gz,53707,1798,51909,0.0335
